No.,FREQUENCY(MHz),Z,D,Cs
1,0.1000,32.0332,0.15233,0.000000050258
2,0.1008,31.8019,0.1531,0.000000050237
3,0.1016,31.5730,0.15387,0.000000050213
4,0.1024,31.3478,0.1546,0.000000050189
5,0.1032,31.1246,0.15531,0.000000050163
6,0.1040,30.8996,0.15614,0.000000050141
7,0.1048,30.6793,0.15688,0.000000050116
8,0.1056,30.4589,0.15758,0.000000050092
9,0.1064,30.2436,0.15833,0.000000050066
10,0.1073,30.0273,0.15922,0.000000050043
11,0.1081,29.8114,0.16001,0.00000005002
12,0.1089,29.6000,0.16074,0.000000049994
13,0.1098,29.3889,0.16155,0.00000004997
14,0.1106,29.1780,0.16234,0.000000049946
15,0.1115,28.9706,0.16311,0.000000049922
16,0.1124,28.7645,0.16394,0.000000049897
17,0.1133,28.5566,0.16479,0.000000049876
18,0.1141,28.3503,0.16563,0.000000049854
19,0.1150,28.1499,0.16639,0.000000049827
20,0.1159,27.9476,0.16731,0.000000049805
21,0.1168,27.7478,0.16811,0.000000049784
22,0.1177,27.5510,0.16893,0.000000049759
23,0.1187,27.3539,0.16981,0.000000049736
24,0.1196,27.1578,0.17057,0.000000049712
25,0.1205,26.9646,0.17146,0.000000049689
26,0.1215,26.7730,0.17235,0.000000049665
27,0.1224,26.5812,0.17316,0.000000049641
28,0.1234,26.3910,0.17408,0.000000049618
29,0.1243,26.2039,0.17495,0.000000049594
30,0.1253,26.0174,0.17585,0.00000004957
31,0.1263,25.8321,0.17674,0.000000049546
32,0.1273,25.6450,0.17767,0.000000049527
33,0.1283,25.4638,0.17852,0.000000049502
34,0.1293,25.2845,0.17941,0.000000049475
35,0.1303,25.1048,0.18035,0.00000004945
36,0.1313,24.9236,0.18127,0.000000049431
37,0.1323,24.7481,0.18221,0.000000049406
38,0.1334,24.5706,0.18317,0.000000049383
39,0.1344,24.3963,0.18405,0.000000049359
40,0.1354,24.2229,0.1850,0.000000049335
41,0.1365,24.0508,0.18601,0.000000049311
42,0.1376,23.8806,0.18688,0.000000049287
43,0.1386,23.7099,0.18783,0.000000049264
44,0.1397,23.5417,0.18881,0.000000049241
45,0.1408,23.3757,0.1898,0.000000049216
46,0.1419,23.2097,0.19075,0.000000049192
47,0.1430,23.0447,0.19178,0.000000049169
48,0.1441,22.8834,0.19276,0.000000049144
49,0.1453,22.7200,0.19376,0.000000049121
50,0.1464,22.5618,0.19479,0.000000049093
51,0.1475,22.3996,0.19575,0.000000049072
52,0.1487,22.2418,0.1968,0.000000049048
53,0.1499,22.0845,0.19775,0.000000049024
54,0.1510,21.9281,0.1988,0.000000049001
55,0.1522,21.7735,0.19985,0.000000048976
56,0.1534,21.6204,0.20093,0.00000004895
57,0.1546,21.4687,0.20196,0.000000048926
58,0.1558,21.3177,0.20303,0.0000000489
59,0.1570,21.1668,0.20407,0.000000048876
60,0.1582,21.0186,0.20512,0.000000048851
61,0.1595,20.8702,0.20619,0.000000048826
62,0.1607,20.7252,0.20724,0.000000048799
63,0.1620,20.5790,0.20833,0.000000048774
64,0.1632,20.4345,0.20945,0.00000004875
65,0.1645,20.2914,0.21055,0.000000048723
66,0.1658,20.1490,0.21167,0.0000000487
67,0.1671,20.0076,0.21275,0.000000048673
68,0.1684,19.8685,0.21386,0.000000048646
69,0.1697,19.7283,0.21498,0.000000048622
70,0.1710,19.5907,0.21611,0.000000048597
71,0.1724,19.4539,0.21731,0.00000004857
72,0.1737,19.3184,0.2184,0.000000048545
73,0.1751,19.1837,0.21959,0.000000048518
74,0.1764,19.0488,0.22074,0.000000048494
75,0.1778,18.9161,0.22186,0.000000048469
76,0.1792,18.7855,0.22305,0.00000004844
77,0.1806,18.6550,0.22423,0.000000048413
78,0.1820,18.5259,0.22542,0.000000048385
79,0.1834,18.3973,0.22659,0.000000048358
80,0.1849,18.2695,0.22779,0.00000004833
81,0.1863,18.1435,0.22904,0.000000048302
82,0.1878,18.0172,0.23022,0.000000048277
83,0.1892,17.8936,0.23145,0.000000048246
84,0.1907,17.7689,0.23272,0.000000048221
85,0.1922,17.6464,0.23392,0.000000048192
86,0.1937,17.5239,0.23513,0.000000048167
87,0.1952,17.4039,0.23644,0.000000048138
88,0.1967,17.2836,0.23771,0.000000048112
89,0.1983,17.1651,0.23894,0.000000048081
90,0.1998,17.0465,0.24023,0.000000048054
91,0.2014,16.9302,0.24144,0.000000048023
92,0.2030,16.8136,0.2428,0.000000047997
93,0.2045,16.6978,0.24407,0.000000047967
94,0.2061,16.5835,0.24541,0.00000004794
95,0.2077,16.4708,0.2467,0.000000047909
96,0.2094,16.3572,0.24796,0.000000047882
97,0.2110,16.2453,0.24936,0.000000047853
98,0.2127,16.1347,0.25069,0.000000047822
99,0.2143,16.0248,0.2520,0.000000047792
100,0.2160,15.9150,0.25339,0.000000047765
101,0.2177,15.8066,0.25471,0.000000047735
102,0.2194,15.6992,0.25603,0.000000047704
103,0.2211,15.5933,0.25738,0.000000047672
104,0.2228,15.4877,0.25882,0.000000047641
105,0.2246,15.3828,0.26015,0.000000047609
106,0.2263,15.2791,0.2616,0.000000047579
107,0.2281,15.1761,0.26298,0.000000047546
108,0.2299,15.0739,0.26435,0.000000047514
109,0.2316,14.9726,0.26578,0.000000047482
110,0.2335,14.8715,0.26725,0.000000047452
111,0.2353,14.7721,0.26869,0.000000047419
112,0.2371,14.6728,0.27004,0.000000047385
113,0.2390,14.5749,0.27147,0.000000047351
114,0.2408,14.4768,0.27292,0.000000047319
115,0.2427,14.3794,0.27437,0.000000047288
116,0.2446,14.2840,0.27581,0.000000047254
117,0.2465,14.1881,0.27732,0.000000047223
118,0.2484,14.0928,0.2788,0.000000047191
119,0.2504,13.9995,0.2803,0.000000047155
120,0.2523,13.9063,0.28178,0.000000047123
121,0.2543,13.8141,0.28329,0.000000047089
122,0.2563,13.7227,0.28482,0.000000047053
123,0.2583,13.6333,0.28636,0.000000047014
124,0.2603,13.5432,0.28782,0.000000046978
125,0.2623,13.4537,0.28928,0.000000046943
126,0.2644,13.3650,0.29081,0.000000046907
127,0.2665,13.2768,0.29241,0.000000046874
128,0.2685,13.1896,0.29388,0.000000046836
129,0.2706,13.1024,0.29533,0.000000046801
130,0.2727,13.0160,0.29697,0.000000046768
131,0.2749,12.9309,0.29848,0.00000004673
132,0.2770,12.8460,0.30011,0.000000046695
133,0.2792,12.7620,0.30171,0.000000046659
134,0.2814,12.6789,0.30332,0.000000046622
135,0.2836,12.5962,0.30492,0.000000046585
136,0.2858,12.5138,0.30654,0.00000004655
137,0.2880,12.4338,0.30818,0.000000046508
138,0.2903,12.3527,0.3097,0.00000004647
139,0.2925,12.2728,0.31134,0.000000046431
140,0.2948,12.1940,0.31296,0.000000046392
141,0.2971,12.1152,0.31459,0.000000046352
142,0.2994,12.0372,0.31623,0.000000046312
143,0.3018,11.9596,0.31781,0.000000046274
144,0.3041,11.8821,0.31954,0.000000046237
145,0.3065,11.8061,0.32109,0.000000046196
146,0.3089,11.7309,0.32282,0.000000046154
147,0.3113,11.6557,0.32449,0.000000046115
148,0.3137,11.5813,0.32618,0.000000046075
149,0.3162,11.5078,0.32784,0.000000046032
150,0.3187,11.4347,0.32951,0.00000004599
151,0.3211,11.3612,0.33127,0.000000045953
152,0.3236,11.2895,0.33294,0.000000045911
153,0.3262,11.2182,0.33474,0.000000045869
154,0.3287,11.1469,0.33638,0.000000045827
155,0.3313,11.0765,0.33799,0.000000045783
156,0.3339,11.0072,0.33988,0.000000045741
157,0.3365,10.9375,0.34166,0.0000000457
158,0.3391,10.8687,0.34327,0.000000045655
159,0.3418,10.8008,0.3450,0.000000045612
160,0.3444,10.7325,0.34681,0.000000045572
161,0.3471,10.6666,0.34854,0.000000045522
162,0.3498,10.5991,0.35032,0.000000045482
163,0.3526,10.5342,0.35211,0.000000045434
164,0.3553,10.4678,0.35394,0.000000045393
165,0.3581,10.4033,0.35575,0.000000045347
166,0.3609,10.3394,0.35751,0.000000045298
167,0.3637,10.2753,0.35929,0.000000045254
168,0.3665,10.2115,0.3612,0.000000045212
169,0.3694,10.1488,0.36294,0.000000045163
170,0.3723,10.0867,0.36484,0.000000045117
171,0.3752,10.0248,0.36659,0.000000045069
172,0.3781,9.96362,0.36843,0.000000045021
173,0.3811,9.90196,0.37019,0.000000044976
174,0.3841,9.8422,0.3720,0.000000044925
175,0.3870,9.78283,0.37386,0.000000044875
176,0.3901,9.72308,0.37577,0.000000044829
177,0.3931,9.66414,0.37759,0.00000004478
178,0.3962,9.60632,0.37942,0.000000044728
179,0.3993,9.54767,0.38129,0.000000044681
180,0.4024,9.49049,0.38319,0.000000044631
181,0.4055,9.43345,0.38504,0.000000044581
182,0.4087,9.3769,0.38689,0.000000044529
183,0.4119,9.32087,0.38882,0.000000044479
184,0.4151,9.26504,0.39065,0.000000044427
185,0.4184,9.2104,0.39258,0.000000044374
186,0.4216,9.1557,0.39442,0.000000044321
187,0.4249,9.10055,0.39636,0.000000044273
188,0.4282,9.04709,0.39823,0.000000044218
189,0.4316,8.99386,0.40016,0.000000044165
190,0.4349,8.94011,0.40207,0.000000044115
191,0.4383,8.88836,0.40403,0.000000044058
192,0.4418,8.83587,0.4059,0.000000044005
193,0.4452,8.78468,0.40784,0.000000043948
194,0.4487,8.73351,0.40976,0.000000043893
195,0.4522,8.68311,0.41166,0.000000043835
196,0.4557,8.63131,0.41365,0.000000043787
197,0.4593,8.58186,0.41559,0.000000043728
198,0.4629,8.53244,0.41756,0.000000043671
199,0.4665,8.48329,0.41951,0.000000043614
200,0.4701,8.43377,0.42144,0.00000004356
201,0.4738,8.38582,0.42336,0.0000000435
202,0.4775,8.33756,0.4253,0.000000043443
203,0.4812,8.28963,0.42719,0.000000043385
204,0.4850,8.24309,0.42931,0.000000043325
205,0.4888,8.19586,0.43122,0.000000043268
206,0.4926,8.14889,0.43314,0.00000004321
207,0.4964,8.10284,0.43513,0.00000004315
208,0.5003,8.05709,0.43707,0.00000004309
209,0.5042,8.01146,0.43904,0.00000004303
210,0.5082,7.96683,0.44098,0.000000042966
211,0.5121,7.9222,0.4430,0.000000042906
212,0.5161,7.87755,0.44496,0.000000042846
213,0.5201,7.83431,0.44699,0.000000042781
214,0.5242,7.79057,0.44897,0.00000004272
215,0.5283,7.74713,0.45083,0.000000042656
216,0.5324,7.70367,0.45294,0.000000042598
217,0.5366,7.66151,0.45488,0.000000042531
218,0.5408,7.61901,0.4569,0.00000004247
219,0.5450,7.57679,0.45876,0.000000042406
220,0.5493,7.53592,0.46082,0.000000042338
221,0.5535,7.49399,0.46283,0.000000042277
222,0.5579,7.45353,0.46474,0.000000042208
223,0.5622,7.41256,0.46674,0.000000042145
224,0.5666,7.37256,0.46874,0.000000042078
225,0.5710,7.33249,0.47068,0.000000042011
226,0.5755,7.29357,0.47272,0.000000041941
227,0.5800,7.25361,0.47468,0.000000041877
228,0.5845,7.21419,0.47664,0.000000041812
229,0.5891,7.17532,0.4786,0.000000041744
230,0.5937,7.13686,0.48062,0.000000041677
231,0.5983,7.09897,0.48278,0.00000004161
232,0.6030,7.0609,0.48467,0.000000041541
233,0.6077,7.02407,0.48672,0.000000041468
234,0.6124,6.98857,0.48852,0.000000041386
235,0.6172,6.95134,0.49037,0.000000041315
236,0.6220,6.91434,0.49236,0.000000041247
237,0.6269,6.87793,0.49429,0.000000041175
238,0.6318,6.84208,0.49623,0.000000041102
239,0.6367,6.80641,0.49821,0.00000004103
240,0.6417,6.77042,0.50012,0.00000004096
241,0.6467,6.73506,0.50203,0.000000040887
242,0.6518,6.70024,0.50401,0.000000040813
243,0.6568,6.66518,0.5059,0.000000040741
244,0.6620,6.6304,0.50797,0.000000040671
245,0.6671,6.59665,0.50972,0.000000040591
246,0.6724,6.56282,0.5117,0.000000040517
247,0.6776,6.52917,0.51364,0.000000040442
248,0.6829,6.49624,0.51559,0.000000040364
249,0.6882,6.4622,0.51734,0.000000040291
250,0.6936,6.43026,0.51935,0.000000040211
251,0.6990,6.39671,0.5213,0.00000004014
252,0.7045,6.36455,0.52312,0.00000004006
253,0.7100,6.33224,0.52489,0.000000039982
254,0.7155,6.29958,0.52694,0.000000039912
255,0.7211,6.26877,0.52887,0.000000039829
256,0.7267,6.23695,0.53066,0.000000039751
257,0.7324,6.20601,0.53251,0.00000003967
258,0.7381,6.17504,0.5344,0.000000039592
259,0.7439,6.14386,0.5362,0.000000039513
260,0.7497,6.11334,0.53815,0.000000039435
261,0.7556,6.08322,0.53987,0.000000039352
262,0.7615,6.05337,0.54177,0.000000039271
263,0.7674,6.02352,0.54363,0.00000003919
264,0.7734,5.99289,0.5454,0.000000039114
265,0.7794,5.96378,0.54713,0.000000039029
266,0.7855,5.93435,0.54894,0.000000038948
267,0.7917,5.90554,0.55078,0.000000038865
268,0.7978,5.87641,0.55252,0.000000038784
269,0.8041,5.84741,0.55431,0.000000038703
270,0.8103,5.81957,0.55604,0.000000038616
271,0.8167,5.79132,0.55783,0.000000038533
272,0.8230,5.76286,0.55951,0.000000038451
273,0.8295,5.73516,0.56123,0.000000038365
274,0.8359,5.70781,0.56302,0.00000003828
275,0.8425,5.68043,0.56486,0.000000038196
276,0.8491,5.6536,0.56643,0.000000038106
277,0.8557,5.62607,0.5682,0.000000038024
278,0.8624,5.59783,0.56985,0.000000037947
279,0.8691,5.57244,0.57152,0.000000037852
280,0.8759,5.54481,0.57315,0.000000037772
281,0.8827,5.51846,0.57481,0.000000037685
282,0.8896,5.49247,0.57653,0.000000037598
283,0.8966,5.4664,0.57818,0.000000037512
284,0.9036,5.44093,0.57992,0.000000037424
285,0.9106,5.41386,0.58157,0.000000037346
286,0.9177,5.38833,0.58275,0.000000037251
287,0.9249,5.36414,0.58464,0.00000003716
288,0.9321,5.33896,0.58611,0.00000003707
289,0.9394,5.31322,0.58774,0.000000036987
290,0.9467,5.28874,0.58924,0.000000036895
291,0.9541,5.26392,0.59088,0.000000036808
292,0.9616,5.2397,0.59234,0.000000036715
293,0.9691,5.21478,0.59372,0.000000036627
294,0.9766,5.19078,0.59545,0.000000036539
295,0.9843,5.16629,0.5969,0.000000036451
296,0.9920,5.14227,0.59827,0.000000036359
297,0.9997,5.11887,0.5997,0.000000036265
298,1.0075,5.09518,0.60162,0.000000036182
299,1.0154,5.07169,0.60263,0.000000036083
300,1.0233,5.0478,0.60402,0.000000035996
301,1.0313,5.02457,0.60563,0.000000035908
302,1.0393,5.0023,0.60697,0.000000035811
303,1.0475,4.97833,0.60829,0.000000035723
304,1.0556,4.9556,0.60971,0.000000035634
305,1.0639,4.93301,0.61112,0.00000003554
306,1.0722,4.90992,0.61229,0.000000035449
307,1.0806,4.88724,0.6137,0.000000035359
308,1.0890,4.86567,0.6151,0.000000035264
309,1.0975,4.84309,0.61631,0.000000035173
310,1.1061,4.82094,0.61763,0.00000003508
311,1.1147,4.79876,0.61894,0.000000034991
312,1.1234,4.77735,0.62016,0.000000034895
313,1.1322,4.75499,0.62129,0.000000034804
314,1.1410,4.7333,0.62256,0.000000034714
315,1.1499,4.71218,0.6237,0.000000034617
316,1.1589,4.69048,0.62492,0.000000034526
317,1.1680,4.66881,0.6261,0.000000034434
318,1.1771,4.64833,0.62729,0.000000034337
319,1.1863,4.62633,0.6285,0.000000034251
320,1.1955,4.60608,0.62969,0.000000034156
321,1.2049,4.58474,0.63056,0.00000003406
322,1.2143,4.56405,0.63185,0.000000033969
323,1.2238,4.54329,0.63316,0.00000003388
324,1.2333,4.52291,0.63401,0.000000033783
325,1.2429,4.50198,0.63499,0.000000033693
326,1.2526,4.48249,0.63622,0.000000033596
327,1.2624,4.46175,0.63713,0.000000033504
328,1.2723,4.44108,0.63823,0.000000033415
329,1.2822,4.4211,0.63912,0.00000003332
330,1.2922,4.40107,0.63993,0.000000033225
331,1.3023,4.38078,0.64109,0.000000033138
332,1.3125,4.36104,0.64204,0.000000033043
333,1.3227,4.34116,0.64305,0.000000032954
334,1.3331,4.32156,0.64387,0.000000032857
335,1.3435,4.30229,0.64489,0.000000032764
336,1.3540,4.28247,0.64567,0.000000032672
337,1.3645,4.26327,0.64656,0.00000003258
338,1.3752,4.24397,0.64735,0.000000032485
339,1.3859,4.22408,0.64807,0.000000032397
340,1.3968,4.20492,0.64904,0.000000032305
341,1.4077,4.18612,0.64998,0.000000032212
342,1.4187,4.16725,0.65068,0.000000032118
343,1.4297,4.14774,0.65131,0.00000003203
344,1.4409,4.12931,0.65226,0.000000031936
345,1.4521,4.11006,0.65293,0.000000031848
346,1.4635,4.09167,0.65363,0.000000031752
347,1.4749,4.07257,0.65439,0.000000031666
348,1.4864,4.05421,0.65513,0.000000031574
349,1.4980,4.03641,0.65609,0.000000031481
350,1.5097,4.01764,0.6566,0.00000003139
351,1.5215,3.99935,0.65728,0.000000031299
352,1.5334,3.98074,0.65769,0.000000031207
353,1.5454,3.9622,0.65848,0.000000031121
354,1.5574,3.94396,0.65896,0.000000031031
355,1.5696,3.92594,0.65962,0.000000030941
356,1.5819,3.90822,0.66032,0.000000030849
357,1.5942,3.89037,0.6607,0.000000030757
358,1.6067,3.87261,0.66148,0.000000030669
359,1.6192,3.85462,0.66192,0.00000003058
360,1.6318,3.83641,0.66252,0.000000030497
361,1.6446,3.81854,0.66297,0.000000030407
362,1.6574,3.8011,0.66331,0.000000030315
363,1.6704,3.78344,0.66399,0.000000030229
364,1.6834,3.76543,0.6646,0.000000030148
365,1.6966,3.74784,0.66493,0.000000030058
366,1.7098,3.73037,0.6655,0.000000029974
367,1.7232,3.71294,0.66571,0.000000029883
368,1.7366,3.69612,0.66612,0.000000029793
369,1.7502,3.67851,0.66659,0.00000002971
370,1.7638,3.66185,0.66712,0.000000029622
371,1.7776,3.64381,0.66748,0.000000029542
372,1.7915,3.62708,0.66787,0.000000029454
373,1.8055,3.61012,0.66846,0.000000029371
374,1.8196,3.59296,0.66834,0.000000029281
375,1.8338,3.5760,0.66876,0.000000029197
376,1.8481,3.55875,0.66922,0.000000029118
377,1.8625,3.54194,0.66942,0.000000029033
378,1.8771,3.52521,0.66978,0.000000028948
379,1.8917,3.50847,0.67012,0.000000028867
380,1.9065,3.4915,0.67047,0.000000028786
381,1.9214,3.47445,0.67062,0.000000028705
382,1.9364,3.4578,0.67087,0.000000028623
383,1.9515,3.44095,0.67109,0.000000028544
384,1.9667,3.42489,0.67128,0.000000028459
385,1.9821,3.40813,0.67162,0.000000028381
386,1.9976,3.39165,0.67169,0.000000028298
387,2.0132,3.37502,0.67204,0.000000028222
388,2.0289,3.35882,0.6721,0.000000028139
389,2.0447,3.34206,0.67248,0.000000028067
390,2.0607,3.32562,0.6726,0.000000027988
391,2.0768,3.30981,0.6727,0.000000027905
392,2.0930,3.29313,0.67299,0.000000027833
393,2.1094,3.27697,0.67296,0.000000027753
394,2.1258,3.26054,0.67298,0.000000027678
395,2.1424,3.2445,0.67337,0.000000027604
396,2.1592,3.2284,0.67334,0.000000027525
397,2.1760,3.21208,0.67343,0.000000027453
398,2.1930,3.19661,0.67388,0.000000027377
399,2.2101,3.18001,0.67374,0.000000027306
400,2.2274,3.16424,0.67385,0.00000002723
401,2.2448,3.14854,0.67399,0.000000027155
402,2.2623,3.13323,0.67416,0.000000027079
403,2.2800,3.11649,0.67417,0.000000027013
404,2.2978,3.10106,0.67399,0.000000026935
405,2.3157,3.08547,0.67427,0.000000026866
