Machine Module,SSA3032X-R,3.2.2.6.0R7
Y Axis Scale,LOG
Y Axis Unit,dBÎ¼V
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+1.000000000E+01
Attenuation,30.000000,Manual
Sweep Time,3000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+3.000000000E+07
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,100000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,320000.00000000,,,,,,,
Marker Ampt,18.87772084,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,126.75
40000,126.46
80000,126.06
120000,125.91
160000,126.05
200000,126.18
240000,126.20
280000,126.18
320000,125.87
360000,125.52
400000,125.15
440000,124.71
480000,124.18
520000,123.29
560000,122.38
600000,121.64
640000,121.14
680000,120.64
720000,120.23
760000,119.66
800000,118.87
840000,117.94
880000,116.97
920000,115.95
960000,114.95
1000000,113.38
1040000,111.88
1080000,110.61
1120000,109.43
1160000,108.39
1200000,107.32
1240000,106.08
1280000,104.62
1320000,103.12
1360000,101.48
1400000,99.92
1440000,98.15
1480000,96.05
1520000,93.94
1560000,91.93
1600000,90.04
1640000,88.36
1680000,86.54
1720000,84.41
1760000,82.51
1800000,80.36
1840000,78.35
1880000,75.69
1920000,74.53
1960000,72.07
2000000,68.15
2040000,68.94
2080000,65.57
2120000,67.65
2160000,66.57
2200000,66.72
2240000,65.60
2280000,66.28
2320000,64.51
2360000,63.97
2400000,68.23
2440000,66.33
2480000,63.97
2520000,63.07
2560000,63.79
2600000,63.93
2640000,67.58
2680000,67.20
2720000,64.90
2760000,64.76
2800000,65.84
2840000,66.52
2880000,68.18
2920000,63.39
2960000,63.17
3000000,62.82
3040000,65.11
3080000,60.59
3120000,62.48
3160000,58.50
3200000,60.64
3240000,60.71
3280000,63.11
3320000,62.99
3360000,67.98
3400000,67.54
3440000,62.22
3480000,62.39
3520000,61.75
3560000,61.53
3600000,61.20
3640000,59.36
3680000,57.33
3720000,61.31
3760000,58.61
3800000,59.15
3840000,65.16
3880000,67.34
3920000,62.80
3960000,59.71
4000000,61.22
4040000,60.67
4080000,58.81
4120000,60.90
4160000,60.20
4200000,61.06
4240000,59.46
4280000,61.61
4320000,60.31
4360000,67.45
4400000,60.61
4440000,60.54
4480000,57.40
4520000,60.24
4560000,60.51
4600000,60.32
4640000,59.22
4680000,57.87
4720000,58.72
4760000,59.72
4800000,58.59
4840000,69.15
4880000,58.20
4920000,60.10
4960000,61.07
5000000,59.12
5040000,59.06
5080000,58.96
5120000,59.31
5160000,58.58
5200000,57.30
5240000,58.16
5280000,59.48
5320000,68.88
5360000,59.79
5400000,59.64
5440000,58.62
5480000,57.57
5520000,58.32
5560000,57.92
5600000,56.86
5640000,56.26
5680000,59.56
5720000,58.64
5760000,56.09
5800000,65.46
5840000,57.49
5880000,58.04
5920000,56.14
5960000,57.78
6000000,57.82
6040000,55.86
6080000,56.31
6120000,55.86
6160000,56.95
6200000,54.15
6240000,52.83
6280000,64.67
6320000,57.64
6360000,59.06
6400000,59.88
6440000,55.28
6480000,56.77
6520000,57.08
6560000,57.56
6600000,58.14
6640000,58.32
6680000,58.76
6720000,58.30
6760000,62.90
6800000,57.63
6840000,56.12
6880000,55.40
6920000,56.18
6960000,53.72
7000000,54.43
7040000,57.88
7080000,58.22
7120000,54.31
7160000,55.11
7200000,54.69
7240000,61.31
7280000,56.12
7320000,55.98
7360000,55.45
7400000,59.90
7440000,61.74
7480000,58.03
7520000,55.80
7560000,53.88
7600000,56.41
7640000,55.30
7680000,57.27
7720000,57.42
7760000,56.94
7800000,57.03
7840000,54.45
7880000,63.01
7920000,62.29
7960000,56.98
8000000,56.53
8040000,56.55
8080000,55.53
8120000,54.85
8160000,54.73
8200000,56.26
8240000,54.93
8280000,52.89
8320000,54.14
8360000,59.30
8400000,57.18
8440000,51.46
8480000,54.35
8520000,53.88
8560000,53.40
8600000,53.93
8640000,55.78
8680000,56.16
8720000,54.33
8760000,54.42
8800000,55.93
8840000,57.85
8880000,56.84
8920000,55.40
8960000,53.14
9000000,53.18
9040000,50.39
9080000,54.01
9120000,54.61
9160000,57.65
9200000,54.73
9240000,56.21
9280000,55.45
9320000,54.25
9360000,54.43
9400000,54.30
9440000,54.76
9480000,54.04
9520000,55.83
9560000,55.13
9600000,52.93
9640000,53.66
9680000,53.18
9720000,54.71
9760000,55.58
9800000,57.00
9840000,55.48
9880000,52.69
9920000,52.36
9960000,54.93
10000000,58.25
10040000,49.81
10080000,51.91
10120000,52.75
10160000,54.13
10200000,55.05
10240000,54.34
10280000,52.24
10320000,55.85
10360000,53.34
10400000,53.96
10440000,58.28
10480000,58.53
10520000,56.32
10560000,54.13
10600000,54.86
10640000,51.46
10680000,52.39
10720000,52.07
10760000,54.86
10800000,54.87
10840000,53.90
10880000,54.92
10920000,59.92
10960000,56.25
11000000,52.69
11040000,55.30
11080000,50.39
11120000,51.90
11160000,53.48
11200000,54.33
11240000,54.61
11280000,54.53
11320000,53.12
11360000,50.92
11400000,55.76
11440000,56.31
11480000,53.33
11520000,50.43
11560000,51.88
11600000,52.42
11640000,56.50
11680000,54.24
11720000,53.91
11760000,52.39
11800000,52.14
11840000,54.48
11880000,52.70
11920000,52.54
11960000,52.05
12000000,53.78
12040000,54.11
12080000,51.46
12120000,54.16
12160000,52.53
12200000,51.72
12240000,52.96
12280000,52.36
12320000,52.63
12360000,51.99
12400000,53.32
12440000,53.41
12480000,50.88
12520000,52.23
12560000,52.86
12600000,57.51
12640000,54.56
12680000,51.48
12720000,50.12
12760000,54.79
12800000,51.96
12840000,50.33
12880000,54.66
12920000,55.90
12960000,52.85
13000000,50.53
13040000,51.90
13080000,56.98
13120000,53.46
13160000,53.28
13200000,51.65
13240000,52.07
13280000,51.49
13320000,51.37
13360000,53.78
13400000,54.69
13440000,54.08
13480000,53.76
13520000,54.25
13560000,58.18
13600000,54.96
13640000,54.70
13680000,50.82
13720000,51.85
13760000,54.84
13800000,55.31
13840000,53.99
13880000,51.79
13920000,51.90
13960000,52.81
14000000,50.93
14040000,57.98
14080000,53.05
14120000,52.50
14160000,52.87
14200000,52.94
14240000,53.19
14280000,58.91
14320000,54.31
14360000,52.73
14400000,55.34
14440000,54.33
14480000,55.39
14520000,54.40
14560000,51.87
14600000,53.77
14640000,50.77
14680000,51.41
14720000,50.94
14760000,56.48
14800000,56.76
14840000,51.04
14880000,54.21
14920000,53.43
14960000,52.26
15000000,52.25
15040000,53.05
15080000,54.76
15120000,54.85
15160000,52.66
15200000,52.38
15240000,53.77
15280000,53.35
15320000,52.77
15360000,52.44
15400000,53.68
15440000,55.11
15480000,54.06
15520000,51.18
15560000,52.29
15600000,53.37
15640000,52.62
15680000,52.49
15720000,56.76
15760000,56.85
15800000,54.38
15840000,51.46
15880000,51.59
15920000,49.37
15960000,52.71
16000000,53.82
16040000,53.77
16080000,50.21
16120000,53.18
16160000,53.50
16200000,52.94
16240000,54.95
16280000,53.30
16320000,54.19
16360000,54.74
16400000,52.95
16440000,54.75
16480000,56.84
16520000,56.37
16560000,51.41
16600000,50.86
16640000,51.07
16680000,53.77
16720000,55.25
16760000,55.15
16800000,51.38
16840000,53.91
16880000,55.59
16920000,53.29
16960000,51.28
17000000,52.33
17040000,50.95
17080000,54.91
17120000,53.37
17160000,50.38
17200000,53.33
17240000,53.54
17280000,51.72
17320000,50.53
17360000,51.44
17400000,55.16
17440000,54.25
17480000,52.47
17520000,52.89
17560000,54.08
17600000,53.63
17640000,50.12
17680000,50.23
17720000,52.20
17760000,54.62
17800000,54.30
17840000,51.14
17880000,54.59
17920000,54.46
17960000,54.10
18000000,54.28
18040000,52.91
18080000,52.63
18120000,54.26
18160000,53.93
18200000,53.23
18240000,51.36
18280000,52.20
18320000,51.94
18360000,52.92
18400000,52.30
18440000,52.88
18480000,51.92
18520000,53.69
18560000,54.35
18600000,52.14
18640000,52.09
18680000,53.14
18720000,50.66
18760000,51.55
18800000,51.83
18840000,52.68
18880000,52.68
18920000,53.16
18960000,51.36
19000000,50.80
19040000,51.31
19080000,50.34
19120000,52.44
19160000,52.54
19200000,51.10
19240000,52.65
19280000,51.83
19320000,53.15
19360000,52.58
19400000,52.89
19440000,52.43
19480000,54.03
19520000,55.38
19560000,53.07
19600000,54.81
19640000,54.39
19680000,53.37
19720000,54.40
19760000,53.68
19800000,50.81
19840000,53.29
19880000,52.69
19920000,51.47
19960000,52.40
20000000,51.26
20040000,48.78
20080000,50.13
20120000,52.19
20160000,52.62
20200000,52.56
20240000,53.16
20280000,54.21
20320000,53.80
20360000,50.98
20400000,52.46
20440000,52.92
20480000,54.17
20520000,53.74
20560000,54.33
20600000,52.72
20640000,51.65
20680000,50.81
20720000,53.43
20760000,51.43
20800000,51.21
20840000,54.33
20880000,52.70
20920000,54.86
20960000,54.66
21000000,51.35
21040000,54.42
21080000,57.21
21120000,55.43
21160000,51.91
21200000,53.16
21240000,52.18
21280000,51.29
21320000,51.09
21360000,50.32
21400000,51.40
21440000,50.39
21480000,51.55
21520000,50.08
21560000,52.36
21600000,53.85
21640000,53.38
21680000,54.14
21720000,55.27
21760000,51.40
21800000,50.03
21840000,50.91
21880000,50.64
21920000,50.06
21960000,48.84
22000000,49.85
22040000,54.03
22080000,51.50
22120000,51.20
22160000,51.54
22200000,52.64
22240000,51.57
22280000,52.68
22320000,52.63
22360000,53.93
22400000,51.47
22440000,52.71
22480000,51.73
22520000,54.60
22560000,52.26
22600000,50.40
22640000,54.05
22680000,50.26
22720000,51.44
22760000,49.62
22800000,50.73
22840000,55.73
22880000,55.17
22920000,52.70
22960000,52.80
23000000,54.48
23040000,54.59
23080000,51.95
23120000,50.16
23160000,50.73
23200000,53.39
23240000,53.86
23280000,51.30
23320000,49.89
23360000,52.17
23400000,50.81
23440000,51.00
23480000,55.39
23520000,55.33
23560000,53.18
23600000,52.92
23640000,51.42
23680000,50.85
23720000,50.81
23760000,51.74
23800000,50.52
23840000,48.54
23880000,50.63
23920000,50.43
23960000,53.57
24000000,52.34
24040000,54.18
24080000,53.13
24120000,53.59
24160000,54.01
24200000,53.95
24240000,49.49
24280000,51.77
24320000,51.82
24360000,48.41
24400000,47.56
24440000,51.46
24480000,51.08
24520000,51.12
24560000,53.53
24600000,52.41
24640000,50.65
24680000,52.55
24720000,53.39
24760000,55.40
24800000,52.35
24840000,50.74
24880000,49.23
24920000,53.18
24960000,53.33
25000000,49.11
25040000,53.72
25080000,53.99
25120000,52.52
25160000,52.25
25200000,53.37
25240000,54.59
25280000,54.66
25320000,51.47
25360000,52.56
25400000,56.04
25440000,57.62
25480000,51.45
25520000,52.65
25560000,52.80
25600000,48.26
25640000,51.73
25680000,49.44
25720000,48.72
25760000,52.17
25800000,52.09
25840000,52.34
25880000,53.50
25920000,55.67
25960000,50.01
26000000,54.10
26040000,54.09
26080000,51.56
26120000,48.96
26160000,48.37
26200000,53.53
26240000,51.31
26280000,51.12
26320000,52.27
26360000,55.20
26400000,56.82
26440000,48.61
26480000,51.23
26520000,52.49
26560000,53.40
26600000,53.30
26640000,53.34
26680000,54.31
26720000,48.95
26760000,47.51
26800000,49.37
26840000,53.14
26880000,53.93
26920000,49.23
26960000,50.68
27000000,50.52
27040000,51.03
27080000,54.37
27120000,54.06
27160000,53.49
27200000,53.11
27240000,52.68
27280000,55.95
27320000,56.43
27360000,56.51
27400000,53.13
27440000,52.31
27480000,50.95
27520000,53.93
27560000,53.07
27600000,54.14
27640000,54.08
27680000,51.08
27720000,50.36
27760000,51.39
27800000,52.88
27840000,51.82
27880000,50.33
27920000,49.10
27960000,51.71
28000000,51.67
28040000,50.71
28080000,52.78
28120000,52.60
28160000,51.27
28200000,51.25
28240000,51.14
28280000,51.94
28320000,51.99
28360000,48.38
28400000,53.95
28440000,53.40
28480000,53.39
28520000,51.73
28560000,53.48
28600000,52.22
28640000,52.25
28680000,53.23
28720000,53.88
28760000,53.90
28800000,53.03
28840000,53.72
28880000,54.30
28920000,51.32
28960000,54.72
29000000,53.44
29040000,52.91
29080000,49.31
29120000,50.49
29160000,50.93
29200000,50.92
29240000,50.88
29280000,51.53
29320000,53.56
29360000,55.16
29400000,50.93
29440000,50.11
29480000,51.58
29520000,50.28
29560000,53.37
29600000,51.01
29640000,49.05
29680000,52.11
29720000,53.55
29760000,53.43
29800000,49.67
29840000,52.38
29880000,51.85
29920000,50.09
29960000,50.16
30000000,51.17
Trace Name,Trace B
Trace Type,Blank
Trace Name,Trace C
Trace Type,Blank
Trace Name,Trace D
Trace Type,Blank
